url,data,like
https://yellotalk.co/yell/67610885,ที่บอกกระแทกแรก ไม่เห็นจะแรงจริงเลย,1 0
https://yellotalk.co/yell/67610886,ช่วยตอบแบบสอบถามหน่อยค่ะ https://forms.gle/RxjPxQZMxeCi5AJk8,0 0
https://yellotalk.co/yell/67610887,ทุกวันนี้ไม่อยากมีแฟน กลัวทำหน้าที่ไม่ดีพอ,2 0
https://yellotalk.co/yell/67610889,ใครก็ได้มาหักอกหน่อย,4 0
https://yellotalk.co/yell/67610891,ช่วยตอบแบบสอบถามหน่อยค่ะ https://forms.gle/RxjPxQZMxeCi5AJk8,1 0
https://yellotalk.co/yell/67610892,หาคนสอนเล่นวาโร มือใหม่เพิ่งโหลด,5 0
https://yellotalk.co/yell/67610894,คอลไหมเงี่ยน,3 0
https://yellotalk.co/yell/67610895,ช่วยตอบแบบสอบถามหน่อยค่ะ https://forms.gle/RxjPxQZMxeCi5AJk8,0 0
https://yellotalk.co/yell/67610896,หอนราทรมีว่าง ชั้น1,0 0
https://yellotalk.co/yell/67610897,ถ้าต้องเกิดมาจนภาวนาให้ตัวเองอย่าเกิดเป็นผญละ,7 3
https://yellotalk.co/yell/67610898,ช่วยตอบแบบสอบถามหน่อยค่ะ https://forms.gle/RxjPxQZMxeCi5AJk8,0 0
https://yellotalk.co/yell/67610899,มีใครรับหิ้วส่งหอในไหมคะ,0 0
https://yellotalk.co/yell/67610900,หุ่นหมี กับ อ้วนต่างกันยังไง,11 0
https://yellotalk.co/yell/67610901,ช่วยตอบแบบสอบถามหน่อยค่ะ https://forms.gle/RxjPxQZMxeCi5AJk8,0 0
https://yellotalk.co/yell/67610902,ก็ไม่เข้าใจว่าทำไมถึงมีผญมาชอบกูนะ แต่ละคนก็นิสัยแบบจับกูแดกได้คงทำ บางคนถึงขั้นโรคจิตอ่ะ ละกูผญ,9 0
https://yellotalk.co/yell/67610903,เหนื่อย อยากออกจะตายแล้วทำไงดี ไม่อยากทนแล้วแต่มันยึดติดไปแล้ว,0 0
https://yellotalk.co/yell/67610904,คอลกันค่ะ หนุ่มตี๋,4 0
https://yellotalk.co/yell/67610905,ช่วยตอบแบบสอบถามหน่อยค่ะ https://forms.gle/RxjPxQZMxeCi5AJk8,0 0
https://yellotalk.co/yell/67610906,จ่ายค่าดรอปไม่ทันอ่ะพี่ๆ ในระบบมันขึ้นจ่ายได้ถึง30 นี่ก็ยังไม่เลยนะ ทำไมจ่ายไม่ได้ ช่วยด้วยย ทำไงดี,12 0
https://yellotalk.co/yell/67610907,หาสาวคุย,0 1
https://yellotalk.co/yell/67610908,มีใครกยศ ยังไม่เข้าเหมือนเราบ้าง,3 0
https://yellotalk.co/yell/67610909,ช่วยตอบแบบสอบถามหน่อยค่ะ https://forms.gle/RxjPxQZMxeCi5AJk8,0 0
https://yellotalk.co/yell/67610910,ขายอะไรในมาเกตเพลสดีออกง่ายๆ,0 0
https://yellotalk.co/yell/67610913,มฟลฝนตกอยู่มั้ย,1 0
https://yellotalk.co/yell/67610914,ช่วยตอบแบบสอบถามหน่อยค่ะ https://forms.gle/RxjPxQZMxeCi5AJk8,0 0
https://yellotalk.co/yell/67610915,ช่วยตอบแบบสอบถามหน่อยค่ะ https://forms.gle/RxjPxQZMxeCi5AJk8,0 0
https://yellotalk.co/yell/67610917,ทำให้เราลืมคนเก่าหน่อยได้ปะ,3 0
https://yellotalk.co/yell/67610918,ช่วยตอบแบบสอบถามหน่อยค่ะ https://forms.gle/RxjPxQZMxeCi5AJk8,0 0
https://yellotalk.co/yell/67610919,160/80 ก็มีหัวใจนะคะ,5 0
https://yellotalk.co/yell/67610920,รอยแตกลายสีมันจางแล้ว แต่เหลือร่องลึกไว้อะ ทำไงดี,0 0
https://yellotalk.co/yell/67610921,ช่วยตอบแบบสอบถามหน่อยค่ะ https://forms.gle/RxjPxQZMxeCi5AJk8,0 0
https://yellotalk.co/yell/67610922,D-nee สีขาวคือหอมมากกกก หอมแบบหอมมมมมม หอมกลิ่นติดสมูก หอมเกินจะบรรยาย,5 0
https://yellotalk.co/yell/67610923,คิดว่ามันง่ายหรอที่จะเจอคนที่รักและทุ่มเทให้เธอขนาดนี้ เสียเราไป ต่อให้เธอหาอีกสิบชาติก็อาจไม่เจอแล้ว #ญญ,0 0
https://yellotalk.co/yell/67610924,"อาหารอร่อยๆ ท่อมยันตรอก พร้อมส่งค้าบ
หน้าร้านเปิดให้นั่ง
โซนแอร์&Outdoor 18.30-ไม่จำกัดเวลา
ท่อมมีหลายรสชาติ
( เฉพาะท่อมเครื่องดื่มต่างๆ ยอด 100฿ขึ้นไป ส่งฟรีน๊า )",1 0
https://yellotalk.co/yell/67610926,อยากคุยกับพี่สาว 30+ จังครับ,0 0
https://yellotalk.co/yell/67610927,โปรเปิดร้าน แครกเกอร์สตอเบอร์รี่🍓 บลูเบอร์รี่🫐 ช็อกโกแลต🍫 กล้วยช็อก โอรีโอ้ สั่งก่อนเที่ยงคืนครึ่ง 1 แถม 1  สั่งไปลองชิมก่อนได้น้า🥳🥳,4 0
https://yellotalk.co/yell/67610929,คอลนอนค่ะ,2 0
https://yellotalk.co/yell/67610930,อยากดูนม,0 0
https://yellotalk.co/yell/67610931,ถ้าจะขายอาหารอะไรดีใน เดลิเวอรี่คนสั่งเยอะสุด ทุกคนชอบกดสั่งอะไรดันอะ,3 0
https://yellotalk.co/yell/67610932,ตอนเช้าห้องสมุดโซนด้านนอกโต๊ะเต็มประมาณกี่โมงหรอคะ,1 0
https://yellotalk.co/yell/67610933,คอลนอนกันค่า,3 0
https://yellotalk.co/yell/67610935,รักเตนจริงไปไล่รีพอร์ตฟิคชงเหี้ยในรอรก่อนเลยค่ะ เมนมึงโดนเยอะสุดแต่กูไม่เห็นเซเล้ปแม่ล์ๆจะหายไปไหนหรือใครเอามารุมรีพอร์ตสักที,2 4
https://yellotalk.co/yell/67610936,"ร้าน Happy Home💨
💥หัวพอททุกรุ่น 90💥
ใช้แล้วทิ้ง🫧
✅Marbo 9k 290฿
✅Vmc 12k 310
✅Vmc 5k 180
✅Next 6k 250
✅Vazer 9k 290
✅Quik 5K 180
✅baam 8k 270
ฝนหยุดเค้ารีบไปส่งเยย",1 0
https://yellotalk.co/yell/67610937,โควิดผ่านมาจะห้าปีแล้ว😖,0 0
https://yellotalk.co/yell/67610938,หาคนคุยย 19-21,3 0
https://yellotalk.co/yell/67610939,ปวดหัวตึบๆๆมาหลายวันละเป็นเพราะอะไรอาะความเครียดมีส่วนเกี่ยวมั้ยครับใครรูบ้างครับ,2 0
https://yellotalk.co/yell/67610940,อยากได้คสพแบบนอนด้วยกันทุกคืนแต่ไม่เป็นไรกัน ขอมากไปปะ555555,0 0
https://yellotalk.co/yell/67610941,หาเพื่อนไปเที่ยวนครนายกครัชชช,2 0
https://yellotalk.co/yell/67610942,ถามจริงๆนะ,15 0
https://yellotalk.co/yell/67610943,ฝากรีXให้ฉ่ำๆหน่อยจิเทออ🤭,1 1
https://yellotalk.co/yell/67610944,ขอขึ้นแบนเนอร์แบบไม่หวังไร เลยใช้เรื่องที่ไม่ค่อยมีคนอ่านส่งไป แล้วดันได้อะ เสียดายโอกาส 555555 เรื่องนี้เหมือนจะเรื่องไม่ค่อยน่าอ่านด้วย เศร้าอะ,0 0
https://yellotalk.co/yell/67610945,หาเพื่อนคุยน้าาาฝครสนใจแปะๆไว้,0 0
https://yellotalk.co/yell/67610947,ถ้าอยากมีอิสระมากนักจะเข้ามาแต่แรกทําไม จะมาให้ความหวังกันเรื่อยๆทําไม,1 0
https://yellotalk.co/yell/67610948,ติดตลกเพื่อ,0 0
https://yellotalk.co/yell/67610949,"🥢🦔ร้านBerbBoo หมี่ไก่ฉีก🦔 🥢

คิวว่างนะงับ🥡🥢 
❗️รสชาติไม่ติดหวาน
❗️แถมฟรีน้ำพริกกากหมู🐷
❗️เริ่มต้นที่ 50",1 1
https://yellotalk.co/yell/67610950,อยากได้โอเพ่นแชทร้านดอง ดองที่ขายส้มตำยำอุ,0 0
https://yellotalk.co/yell/67610951,ร้านคาราโอเกะแถว ม เหลือที่ไหน,3 0
https://yellotalk.co/yell/67610952,มีร้านข้าวร้านไหนเปิดเช้าๆบ้างค้าบ😅แนะนำหน่อยยย,2 0
https://yellotalk.co/yell/67610953,ดูรักเล่นกลแล้วฟินมากอะ เขินโคตรรรรร,0 0
https://yellotalk.co/yell/67610954,อยู่ๆก็รู้สึกอยากมีพ่อเหมือนคนอื่นเค้า ทั้งๆที่โตละนะ แต่ก็จะร้องไห้ละ,1 0
https://yellotalk.co/yell/67610955,จะเน็ดให้ลั่นห้องหมั้นเขี้ยว,0 0
https://yellotalk.co/yell/67610956,ผู้ชายที่ธงเขียว แม่งไม่สนอดีตผญจริงหรอ และแบบชายแท้ธงเขียวบางคนโดนลดทอนว่า สุดท้ายผญ แพ้พวกแบดบอยหน้าหล่องี้,1 1
https://yellotalk.co/yell/67610957,หาผช เง่นๆ คุยจีหลุมกัน,19 0
