word,frequency
ร้าน,8294
อพช,1608
หิ้ว,643
หมู,618
ไก่,517
ส้มตำ,463
ชา,402
ยำ,394
ร้านเหล้า,382
coffee,273
ผลไม้,267
หมี่,258
ร้านตัดผม,257
ยา,251
ชาบู,247
เบียร์,247
ฉีก,237
เหล้า,225
เค้ก,219
ก๋วยเตี๋ยว,213
กาแฟ,184
เนื้อ,136
ของหวาน,135
ย่าง,139
เสื้อผ้า,133
ไก่ทอด,121
ชีส,121
เตี๋ยว,119
อาหารเจ,118
ไอติม,115
ร้านอาหาร,116
ตัดผม,114
โยเกิร์ต,108
bar,108
เคบับ,102
เครป,101
ยาคุม,96
ปลา,87
ต้ม,84
ถุงยาง,83
ลูกชิ้น,83
มาม่า,80
ร้านขายยา,80
เที่ยงคืน,80
โจ๊ก,75
น้ำพริก,72
นวด,68
ถ่ายเอกสาร,66
หวาน,65
กะเพรา,63
เกาหลี,61
เปี๊ยะ,61
สมูทตี้,60
Croffle,59
ครอฟเฟิลอบ,58
สเต็ก,56
ซูชิ,54
เผ็ด,51
น้ำเต้าหู้,50
กล้วย,49
พิซซ่า,49
น้ำหวาน,45
ชาเขียว,44
ปลาร้า,44
คาเฟ่,44
กะทะ,43
หมึก,43
ไก่ย่าง,43
ร้านกาแฟ,42
บุหรี่,41
สลัด,41
ทาร์ต,40
ลาบ,38
ไส้กรอก,38
โค้ก,38
อาหารเสริม,35
คอนแทค,35
เฟรนช์,35
บะหมี่,35
ต้มยำ,33
ลดน้ำหนัก,33
หมูกรอบ,32
ช้อค,32
kfc,31
มะพร้าว,31
สตอ,30
โกโก้,30
แกง,29
โรตี,29
ผัดไทย,29
𝐘𝐨𝐠𝐮𝐫𝐭,29
𝐡𝐨𝐦𝐞𝐦𝐚𝐝𝐞,28
หมูน้ำ,28
โพลารอยด์,27
ปอเปี๊ยะ,27
อยู่ท้อง,27
บุฟเฟ่ต์,26
ช็อกโกแลต,26
รองเท้า,26
มะม่วง,26
บิกินี่,26
น้ำจิ้ม,25
เมี่ยง,25
กลูต้า,25
ไข่เจียว,25
กัญชา,24
เปรี้ยว,23
องุ่น,23
คาราเมล,23
หอย,22
ยานอนหลับ,21
กระโปรง,21
วุ้นเส้น,21
โดนัท,21
คอนแทคเลนส์,21
กระเป๋า,20
ปลาหมึก,20
มือสอง,19
เบอร์เกอร์,18
สเต๊ก,17
บุฟเฟต์,17
ราดหน้า,17
ไข่มุก,16
บัวลอย,16
ร้านซักรีด,15
ก๋วยจั๊บ,15
แตงโม,14
เครื่องสำอาง,14
ติ่มซำ,13
มะนาว,13
วิตามิน,12
กลางคืน,12
เคเอฟซี,12
mixue,12
ซาลาเปา,11
ผ้านวม,11
อาหารทะเล,11
ทีรามิสุ,10
เบเกอรี่,6
